id,reviewNumber,overallRating,date,summary,pros,cons,adviceToManagement,employeeType,position,reviewLink,workLife,culture,careerOpps,compBenefits,management
1,empReview_6126951,3, 16 Mar 2015,More opportunities in future...,"infrastructure, growth, less pressure, park to relax","appraisal system, less hike, no much learning",Null,Current Employee - Quality Specialist,Null,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW6126951.htm,3,4,3,3,3
2,empReview_6267904,1, 5 Apr 2015,Not Well Managed Company.,"None.Even Though I work here for 4 years, I get nothing. No Proper Appraisal, No Knowledge....","During the Acquisition of Satyam instead of giving Bonus, This Company had skipped an Appraisal Also.In the Client Site Applied Materials, Weekends will be spent in ODC preparing some unnecessary Reports.","They should get Feed back from Employees frequently.2nd, 3rd Level Managers should have One On One Meetings with Employees Occasionally.Managers should be more Active and Thought provoking.",Current Employee - Design Engineer,I have been working at Tech Mahindra full-time (More than 3 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW6267904.htm,1,2,1,1,1
3,empReview_6043222,4, 4 Mar 2015,Not a bad company to work,good working environment and good management they allowed me to work freely.,very less hikes when compared to other companies and poor resource utilization.,Null,Current Employee - Software Engineer,I have been working at Tech Mahindra full-time (More than 3 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW6043222.htm,3,3,3,3,4
4,empReview_6120407,3, 15 Mar 2015,Ok,"Good company to start, freshers can have a good exposure",No much scope for senior people,Null,Current Employee - Anonymous Employee,Null,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW6120407.htm,2,3,3,3,2
5,empReview_6121740,3, 15 Mar 2015,Decent company with average management,,,Look for some big development accounts and not go after support projects,Former Employee - Senior Software Engineer,Null,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW6121740.htm,Null,Null,Null,Null,Null
6,empReview_6123708,3, 15 Mar 2015,Nice Environment to work.,They have good projects in telecom domain.We can learn more.Employe friendly staff.If u r in bench then also u r safe.Day care facility,"Appraisal system is poor,they will not give u hike at time.not flexible for women employees in terms of timings.",Null,Former Employee - Senior Software Developer,I worked at Tech Mahindra full-time (More than 3 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW6123708.htm,3,3,5,1,1
7,empReview_6115314,3, 14 Mar 2015,OK to work with tech mahindra,Managers are open for ideas. OnSite opportunities are there. Work life balance ..,Salary is very low. Hikes are very low.,Kindly focus on spending money to retain talants as well. Give proper hike...,Current Employee - Big Data Developer,Null,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW6115314.htm,3,3,3,2,3
8,empReview_6115710,3, 14 Mar 2015,Good work exposure,"Lots of domain and technical exposure, managers are very supportive, friendly atmosphere, easy to get noticed when you work well, work life balance is good, onsite opportunities.","Promotions are not easy to get and there are no guidelines for promotions, salary hike every year is negligible, so unless you join with a fat package, not worth joining from financial angle. People who work for several years get less hike and laterals are taken in with high package.",NA,Former Employee - Anonymous Employee,I worked at Tech Mahindra full-time (More than 3 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW6115710.htm,5,4,4,2,4
9,empReview_6108550,3, 12 Mar 2015,Good for freshers,"Chance to work on multiple technologies,flexibility ,good work life balance","No proper Hikes,no skip level management interaction.",Have skip level interaction with the people to understand their concenrs,Current Employee - Anonymous Employee,Null,https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW6108550.htm,Null,Null,Null,Null,Null
10,empReview_6109076,3, 13 Mar 2015,Quality of work with onsite but less pay,Infrastructure is great. Facilities like transportation is good every hour bus is available.,"1.Cafeteria is very nice but taste of food is not so good, I found insects in my plate when ever I order for noodles :p2. Less pay also hike is very less like 5-7% yearly3. 9:30 hr daily is mandatory at office4. Manager do partiality region wise5. Many times Meetings go on regional language. I use to interrupt many times",Please improve appraisal cycle.Please be transparent don't do partiality with others,Former Employee - Software Test Engineer,I worked at Tech Mahindra full-time (More than 3 years),https://www.glassdoor.com/Reviews/Employee-Review-Tech-Mahindra-RVW6109076.htm,2,3,3,2,1
